Name,Task,Image,Time,Stage,Purpose,When,Why,Note,Output,Next
"
                      1-on-1 interview                    ","
1. Specify the goal of the interview and select questions and subjects around the topic carefully.
2. Define if there is a need for a structured interview or semi-structured interview. Structured interviews have a clear guide that needs to be followed, semi-structured interviews allow for flexibility within the interview.
3. Conduct a pre-interview during the recruitment phase, to refine the guide.
4. Talk, watch, listen and observe as you conduct the interview.
5. Document the interview by recording audio/video (if possible) and take notes.
6. Analyze and compare the information gathered from the interview(s).



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-04-wpcf_120x120.png,4 HOURS - 1 DAY,know-user,research,When there is a need for information from users and/or experts.,Facilitates quick and early discovery; best for personal information; works well in combination with other methods.,"For structured interviews, the interviewer should be consistent across interviews.",Notes and recordings of the interviews.,Analyse recordings to uncover insights and identify possible ways to incorporate them into a solution.
"
                      Actors map                    ","
1. Arrange a room where you can focus and work for a couple of hours.
2. List down the core stakeholders on a big sheet of paper.
3. List down the sub groups of stakeholders.
4. Connect the stakeholders to each other and describe how they relate to each other.
5. Write down the specifics of the relationships between the stakeholders, how, where and why do they communicate?
6. Document the end result.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-40-wpcf_120x120.png,2 HOURS - 4 HOURS,define-intentions,research,At the beginning of a project to understand relationships between the different parties.,Understanding relationships is an important aspect of (service) design.,"Stakeholders aren’t only employees or companies, a family member can also be a stakeholder.",A map of all the stakeholders and their relationship with each other.,Analyze the map and identify areas where there is room for improvement.
"
                      Backcasting                    ","
1. List down your long term goals. Think of a time frame between 1 and 20 years.
2. Work backwards to figure out the necessary actions to achieve the long term goal. Step by step, don’t ever skip one!
3. Collect insights over difficulties that might be encountered, steps that need to be taken and resources needed to achieve the goal.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-06-wpcf_120x120.png,2 HOURS - 4 HOURS,define-intentions,create,When a future goal (even if it is vague) has been identified.,To make a road map of clear milestones towards a future goal.,You can start with answering the question: ‘Define your success in 2025’.,Step by step guide to achieve the long term goals.,"Reflect and revise your long term goals if needed.
Carry out your plan."
"
                      Behavioral lenses                    ","
1. Decide what the targeted behavior you want to aim for is, make a clear description of it.
2. Decide which lense is related to the targeted behavior you are researching. The lenses are:
A. Habits and impulses. B. Knowing and finding. C. Seeing and realizing. D. To want and to be able. E. To do and to keep doing.
3. Define the influence of time, context and impact of the described behavioral aspects on your users. Draw conclusions.
4. Read the lense(s) you are using.
5. List the elements that influence the current behavior and how it relates to the one described in the lense(s). Include triggers and effects of the behavior.
6. Use the intervention strategies on the lense(s) to ideate on ways that you can change the current behavior into the targeted behavior you are aiming for.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-51-wpcf_120x120.png,4 HOURS - 1 DAY,know-user,create,When you need to understand the user and context.,"Design for behavior change is tricky, you will need a deep understanding of your users’ behaviors.","Be sure to see the lenses as an aid for focus, you will need to use other methods to understand your users better.",A concrete representation of the relationship between current and targeted behaviors.,Use the knowledge you gained to enrich your project’s Persona(s).
"
                      Boundary shifting                    ","
1. Identify the current problem that needs to be solved, this will be defined as problem 1.
2. Research into a problem that may have the same principles or complications, this will be defined as problem 2.
3. Identify solutions for problem 2, write them down.
4. Go through the different solutions for problem 2 and identify which of them can be used to solve problem 1.
5. Make a plan to apply the solutions to solve the problem.
6. Implement the solutions that have been identified and can help solve or mitigate the problem.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-19-wpcf_120x120.png,1 DAY - 2 DAYS,define-intentions,research,When the team is stuck and needs inspiration to innovate.,Finding solutions that work in another system can give insights on the one you are working on.,The alternative system should have as many overlaps or parallels as possible with the problem or idea you are working on.,“Out of the box” solutions.,Apply the solutions or ideas to the problem and test them.
"
                      Brain writing                    ","
1. Recruit a team that will be part of the brainwriting session.
2. Arrange a space and materials needed for the session.
3. As a moderator, organize the participants and define the problem.
4. Each participant brainstorms 3 solutions in 2 minutes in written form.
5. After 2 minutes, ask participants to pass the sheet to the left, the sheets circulate.
6. The participants build upon the existing suggestions writing their own idea underneath the previous one.
7. Repeat as many times as there are people.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-38-wpcf_120x120.png,2 HOURS - 4 HOURS,ideation-concept,create,When there is a need to develop ideas with a team that doesn’t feel comfortable with either drawing or presenting.,"Some people don’t feel comfortable with drawing or presenting, this might hinder their idea generation.",In each new round allow one extra minute. Good for group interaction.,"Many solutions to the problem, co-produced by a team.",Filter the ideas with the most potential and develop them.
"
                      Break up/Love letter                    ","
1. Decide how many letters you would like to have and what the character is of the insights you are gathering. Organise either a group meeting or a way to receive individual letters.
2. Ask participants to write a break-up letter for the brand or product they are saying or said goodbye to.
3. Ask participants to write a love letter for the brand or product they are currently in love with.
4. Gather your team and go through all letters. Try and find commonalities between them and see what elements influence the relationships the most. List those and give them a rating in terms of importance for your design.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-29-wpcf_120x120.png,1 HOUR - 2 HOURS,know-user,create,In the ideation and user exploration phase.,"Using brand- consumer relationships, perception and loyalty can help you create a better design.","Focus on the moments that matter the most (i.e., the moments that cause someone to stay or leave a relationship).",A hierarchical overview of brand- or product relationship influencers.,Use the input from the letters to decide on next steps to take.
"
                      Clickable Prototype                    ","
1. Create a design, based on a concept that has been deemed promising.
2. Map out the navigation and behavior that is wanted from the users, define the look and feel of buttons, screens and animations.
3. Build the prototype, this can be done by programming or using special software that is designed for it.
4. Recruit participants and ask them to test your prototype, give them tasks and ask them to complete them.
5. Do a recording of the test, if possible record both the participant and the screen.
6. Collect the results and analyze them.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-25-wpcf_120x120.png,1 DAY - 2 DAYS,prototype-test,create,Once an idea has been developed enough and needs input on user behavior with it.,To check if the design behaves as intended.,There are a lot of prototype building apps out there on the internet. Test the prototype with as many people as possible.,"An overview of which problems are at the core of a project, and which are concrete.","Evaluate, process, adjust, iterate. Program final version."
"
                      Co-discovery                    ","
1. Select and recruit participants that are representative of the end user.
2. Prepare the testing session, schedule tests so participants are in pairs, prepare prototype and test materials, set up and test video/ audio recording, design the scenario and tasks for the user test.
3. As a moderator, explain to users that the idea is to test the system. Ask them to perform the tasks and mention that the thought process is important and that they should talk aloud explaining what they are doing and why.
4. As notetaker, make sure you take notes and facilitate setting up/updating the test when needed.
5. Analyze the video recordings.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-42-wpcf_120x120.png,2 HOURS - 1 DAY,prototype-test,research,"In the testing phases of a project, this can be done with sketchy designs and/or high fidelity prototypes.","Having two participants that test the system, allows to gain different viewpoints on the same design.","If the participants have trouble with a specific task, avoid helping them, let them gure it out themselves.",An overview of what works and what doesn’t in the design.,Improve the design where it had problems during the test.
"
                      Cognitive map                    ","
1. Recruit participants and organize materials and a space for a creative session.
2. As a moderator ask a participant to create a map showing how they navigate in a real or virtual space. This can be done several times. Keep in mind that maps can be created in collaboration by a group of people to incorporate different viewpoints.
3. Ask other participants to navigate through the map, how they perform a task or how they “read” the space.
4. Take notes of what participants describe, take special note of moments where the participants backtrack or change their primary goal.
5. Analyse the different maps and the flow each of them has.



",https://toolkits.dss.cloud/design/wp-content/uploads/sites/2/2016/06/DMT_icons-44-wpcf_120x120.png,1 DAY - 2 DAYS,know-user,research,When you need to gain understanding of the way users navigate through a design solution.,"Most solutions are developed by people that are not the end users, this allows to test of the users understand the design.","Space doesn’t necessarily have to be physical, a website or an app also require navigation skills.",List of what works and what doesn’t work in the design.,Refine the design based on the insights that have been gained.
